,COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population,TOTAL_VACCINATIONS,TOTAL_VACCINATIONS_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
26,Bosnia and Herzegovina,Europe,378138,11525.734,15796,481.466,1924950,58.7,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",4.0
27,Botswana,Africa,310419,13200.18,2701,114.857,2727844,115.998,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0
28,Brazil,Americas,31497038,14817.992,668180,314.35,433872497,204.118,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0
29,British Virgin Islands,Americas,6902,22826.339,63,208.354,41104,135.939,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2.0
30,Brunei Darussalam,Western Pacific,154133,35232.091,164,37.488,1173118,268.154,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",5.0
31,Bulgaria,Europe,1167314,16792.304,37206,535.224,4398844,63.3,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
32,Burkina Faso,Africa,20899,99.98,384,1.837,2947562,14.101,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3.0
33,Burundi,Africa,42330,355.99,15,0.126,16232,0.137,Beijing CNBG - BBIBP-CorV,1.0
34,Cabo Verde,Africa,57096,10269.305,402,72.304,762486,137.141,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
35,Cambodia,Western Pacific,136262,815.015,3056,18.279,40160051,240.207,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",7.0
36,Cameroon,Africa,119947,451.848,1930,7.27,1837626,6.922,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
37,Canada,Americas,3892409,10313.161,41470,109.877,84847129,224.807,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
38,Cayman Islands,Americas,26325,40056.299,28,42.605,144978,220.6,Pfizer BioNTech - Comirnaty,1.0
39,Central African Republic,Africa,14371,297.551,113,2.34,1193681,24.715,"Bharat - Covaxin,SII - Covishield",2.0
40,Chad,Africa,7420,45.173,193,1.175,2355126,14.338,Beijing CNBG - BBIBP-CorV,1.0
41,Chile,Americas,3834020,20056.391,58119,304.03,56897016,297.638,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",5.0
42,China,Western Pacific,3994428,271.492,19020,1.293,3397315599,230.908,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",8.0
43,Colombia,Americas,6117847,12023.387,139894,274.933,84486714,166.041,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",5.0
44,Comoros,Africa,8131,935.027,160,18.399,642520,73.887,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",3.0
45,Congo,Africa,24128,437.253,385,6.977,831318,15.065,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",4.0
46,Cook Islands,Western Pacific,5720,32566.614,1,5.693,39667,225.843,Pfizer BioNTech - Comirnaty,1.0
47,Costa Rica,Americas,904934,17764.292,8525,167.35,11017624,216.281,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
48,Croatia,Europe,1140078,28093.436,16020,394.76,5253369,129.5,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",6.0
49,Cuba,Americas,1105643,9761.459,8529,75.301,36461068,321.906,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",3.0
50,Curaçao,Americas,44314,27005.418,278,169.416,253246,154.331,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
51,Cyprus,Europe,493984,55628.516,1068,120.27,1785214,201.0,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
52,Czechia,Europe,3923943,36693.149,40303,376.877,17620044,164.8,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
53,Côte d’Ivoire,Africa,82492,312.727,799,3.029,12753769,48.35,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
54,Democratic Republic of the Congo,Africa,89932,100.414,1345,1.502,2952125,3.296,SII - Covishield,1.0
